DATE,MRTSSM4481USN
2010-01-01,9902
2010-02-01,10568
2010-03-01,13125
2010-04-01,12899
2010-05-01,13124
2010-06-01,12164
2010-07-01,12677
2010-08-01,13164
2010-09-01,12322
2010-10-01,13169
2010-11-01,15104
2010-12-01,20058
2011-01-01,10162
2011-02-01,11370
2011-03-01,13715
2011-04-01,13859
2011-05-01,13648
2011-06-01,13271
2011-07-01,13415
2011-08-01,13889
2011-09-01,13431
2011-10-01,13793
2011-11-01,15816
2011-12-01,21726
2012-01-01,10686
2012-02-01,12618
2012-03-01,15205
2012-04-01,14003
2012-05-01,14593
2012-06-01,14035
2012-07-01,13717
2012-08-01,15157
2012-09-01,13714
2012-10-01,14247
2012-11-01,16562
2012-12-01,21594
2013-01-01,11294
2013-02-01,12237
2013-03-01,15364
2013-04-01,14100
2013-05-01,15149
2013-06-01,14122
2013-07-01,14312
2013-08-01,15644
2013-09-01,13471
2013-10-01,14816
2013-11-01,16781
2013-12-01,21703
2014-01-01,11082
2014-02-01,12100
2014-03-01,14863
2014-04-01,15012
2014-05-01,15652
2014-06-01,14047
2014-07-01,14699
2014-08-01,15924
2014-09-01,13911
2014-10-01,15248
2014-11-01,17856
2014-12-01,22731
2015-01-01,11612
2015-02-01,12590
2015-03-01,15502
2015-04-01,15124
2015-05-01,16179
2015-06-01,14595
2015-07-01,15249
2015-08-01,16205
2015-09-01,14318
2015-10-01,15564
2015-11-01,17420
2015-12-01,22791
2016-01-01,11611
2016-02-01,13170
2016-03-01,15940
2016-04-01,15024
2016-05-01,15721
2016-06-01,15029
2016-07-01,15346
2016-08-01,16171
2016-09-01,14822
2016-10-01,15500
2016-11-01,17727
2016-12-01,23871
2017-01-01,11769
2017-02-01,12632
2017-03-01,15734
2017-04-01,15651
2017-05-01,15944
2017-06-01,15353
2017-07-01,15350
2017-08-01,16359
2017-09-01,14710
2017-10-01,15372
2017-11-01,18444
2017-12-01,23478
2018-01-01,11668
2018-02-01,12961
2018-03-01,16511
2018-04-01,14996
2018-05-01,17184
2018-06-01,15713
2018-07-01,15970
2018-08-01,16668
2018-09-01,14786
2018-10-01,15853
2018-11-01,19130
2018-12-01,23283
2019-01-01,11856
2019-02-01,12317
2019-03-01,15973
2019-04-01,15579
2019-05-01,16504
2019-06-01,15410
2019-07-01,15666
2019-08-01,16708
2019-09-01,14157
2019-10-01,15773
2019-11-01,18592
2019-12-01,23598
2020-01-01,12060
2020-02-01,13058
2020-03-01,7288
2020-04-01,1833
